age,job,marital,education,default,balance,housing,loan,contact,day,duration,campaign,y,month_sin,month_cos
27,4.0,2.0,1.0,0.0,35,0.0,0.0,0.0,4,255,1,0.0,-0.4999999999999998,-0.8660254037844388
54,1.0,1.0,0.0,0.0,466,0.0,0.0,0.0,4,297,1,0.0,-0.4999999999999998,-0.8660254037844388
43,1.0,1.0,1.0,0.0,105,0.0,1.0,0.0,4,668,2,0.0,-0.4999999999999998,-0.8660254037844388
31,9.0,2.0,1.0,0.0,19,0.0,0.0,1.0,4,65,2,0.0,-0.4999999999999998,-0.8660254037844388
27,9.0,2.0,1.0,0.0,126,1.0,1.0,0.0,4,436,4,0.0,-0.4999999999999998,-0.8660254037844388
28,1.0,2.0,1.0,0.0,-127,1.0,0.0,0.0,4,1044,3,1.0,-0.4999999999999998,-0.8660254037844388
50,1.0,1.0,1.0,0.0,1329,1.0,1.0,1.0,4,141,2,0.0,-0.4999999999999998,-0.8660254037844388
29,1.0,2.0,0.0,0.0,343,0.0,0.0,0.0,4,39,2,0.0,-0.4999999999999998,-0.8660254037844388
25,1.0,2.0,1.0,0.0,192,0.0,0.0,1.0,4,112,2,0.0,-0.4999999999999998,-0.8660254037844388
38,1.0,1.0,1.0,0.0,43,0.0,1.0,0.0,4,135,3,0.0,-0.4999999999999998,-0.8660254037844388
36,9.0,2.0,1.0,0.0,-272,0.0,1.0,0.0,4,53,6,0.0,-0.4999999999999998,-0.8660254037844388
32,1.0,0.0,0.0,0.0,4805,0.0,1.0,0.0,4,138,3,0.0,-0.4999999999999998,-0.8660254037844388
44,9.0,1.0,2.0,0.0,1146,0.0,0.0,0.0,4,178,2,0.0,-0.4999999999999998,-0.8660254037844388
37,1.0,1.0,0.0,0.0,380,1.0,1.0,0.0,4,548,2,0.0,-0.4999999999999998,-0.8660254037844388
48,7.0,1.0,1.0,0.0,1355,0.0,0.0,0.0,4,134,2,0.0,-0.4999999999999998,-0.8660254037844388
30,0.0,1.0,1.0,0.0,215,0.0,1.0,0.0,4,95,2,0.0,-0.4999999999999998,-0.8660254037844388
54,9.0,1.0,1.0,0.0,187,0.0,1.0,0.0,4,273,3,0.0,-0.4999999999999998,-0.8660254037844388
36,10.0,0.0,0.0,0.0,0,0.0,0.0,1.0,4,304,3,0.0,-0.4999999999999998,-0.8660254037844388
33,9.0,2.0,1.0,0.0,555,0.0,1.0,0.0,4,425,2,0.0,-0.4999999999999998,-0.8660254037844388
34,7.0,1.0,1.0,0.0,295,1.0,1.0,0.0,4,64,1,0.0,-0.4999999999999998,-0.8660254037844388
28,7.0,2.0,1.0,0.0,-116,0.0,1.0,0.0,4,276,1,0.0,-0.4999999999999998,-0.8660254037844388
33,4.0,1.0,1.0,0.0,4385,0.0,1.0,0.0,4,92,1,0.0,-0.4999999999999998,-0.8660254037844388
30,7.0,1.0,1.0,0.0,137,0.0,0.0,0.0,4,407,1,0.0,-0.4999999999999998,-0.8660254037844388
34,0.0,2.0,1.0,0.0,296,0.0,0.0,0.0,7,147,4,0.0,-0.4999999999999998,-0.8660254037844388
35,0.0,0.0,1.0,0.0,534,0.0,0.0,0.0,7,148,3,0.0,-0.4999999999999998,-0.8660254037844388
44,2.0,1.0,1.0,0.0,93,0.0,0.0,0.0,7,125,2,0.0,-0.4999999999999998,-0.8660254037844388
36,7.0,1.0,1.0,0.0,-27,1.0,1.0,0.0,7,151,4,0.0,-0.4999999999999998,-0.8660254037844388
49,1.0,1.0,0.0,0.0,-157,1.0,0.0,0.0,7,491,3,1.0,-0.4999999999999998,-0.8660254037844388
55,1.0,1.0,1.0,0.0,49,1.0,0.0,0.0,7,494,4,1.0,-0.4999999999999998,-0.8660254037844388
51,9.0,1.0,1.0,0.0,216,0.0,0.0,0.0,7,615,2,1.0,-0.4999999999999998,-0.8660254037844388
51,4.0,1.0,2.0,0.0,1421,1.0,0.0,0.0,7,152,5,0.0,-0.4999999999999998,-0.8660254037844388
38,1.0,1.0,1.0,0.0,222,1.0,1.0,0.0,7,164,5,0.0,-0.4999999999999998,-0.8660254037844388
59,2.0,1.0,2.0,0.0,1728,0.0,0.0,0.0,7,575,2,0.0,-0.4999999999999998,-0.8660254037844388
54,4.0,0.0,2.0,0.0,5253,1.0,1.0,0.0,7,17,19,0.0,-0.4999999999999998,-0.8660254037844388
43,4.0,2.0,2.0,0.0,47,1.0,0.0,0.0,7,316,5,0.0,-0.4999999999999998,-0.8660254037844388
60,2.0,0.0,0.0,0.0,2648,0.0,0.0,0.0,7,148,2,0.0,-0.4999999999999998,-0.8660254037844388
34,7.0,1.0,1.0,0.0,0,0.0,0.0,0.0,7,160,3,0.0,-0.4999999999999998,-0.8660254037844388
31,0.0,2.0,1.0,0.0,-182,1.0,0.0,0.0,7,181,2,0.0,-0.4999999999999998,-0.8660254037844388
43,9.0,1.0,1.0,1.0,-313,0.0,1.0,0.0,7,89,4,0.0,-0.4999999999999998,-0.8660254037844388
53,1.0,1.0,0.0,0.0,465,1.0,0.0,0.0,7,111,2,0.0,-0.4999999999999998,-0.8660254037844388
47,1.0,1.0,0.0,1.0,25,1.0,1.0,0.0,7,142,3,0.0,-0.4999999999999998,-0.8660254037844388
59,4.0,1.0,3.0,0.0,147,0.0,0.0,0.0,7,119,3,0.0,-0.4999999999999998,-0.8660254037844388
39,4.0,1.0,0.0,0.0,551,0.0,1.0,0.0,7,107,5,0.0,-0.4999999999999998,-0.8660254037844388
56,3.0,1.0,0.0,0.0,58,0.0,1.0,0.0,7,227,6,0.0,-0.4999999999999998,-0.8660254037844388
41,7.0,1.0,1.0,0.0,650,1.0,0.0,0.0,7,149,5,0.0,-0.4999999999999998,-0.8660254037844388
41,3.0,1.0,0.0,0.0,1618,1.0,0.0,0.0,7,134,2,0.0,-0.4999999999999998,-0.8660254037844388
60,5.0,1.0,0.0,0.0,-63,1.0,0.0,0.0,7,1434,5,0.0,-0.4999999999999998,-0.8660254037844388
58,4.0,1.0,0.0,0.0,4850,0.0,0.0,0.0,7,179,2,0.0,-0.4999999999999998,-0.8660254037844388
56,1.0,1.0,0.0,0.0,409,1.0,0.0,1.0,7,176,6,0.0,-0.4999999999999998,-0.8660254037844388
36,10.0,2.0,0.0,0.0,0,1.0,0.0,1.0,7,63,6,0.0,-0.4999999999999998,-0.8660254037844388
39,4.0,1.0,2.0,0.0,1007,1.0,0.0,0.0,7,86,2,0.0,-0.4999999999999998,-0.8660254037844388
46,4.0,1.0,0.0,0.0,312,1.0,0.0,0.0,7,113,2,0.0,-0.4999999999999998,-0.8660254037844388
58,1.0,0.0,0.0,0.0,820,1.0,0.0,0.0,7,200,4,0.0,-0.4999999999999998,-0.8660254037844388
52,4.0,1.0,1.0,0.0,3369,0.0,0.0,0.0,7,196,2,0.0,-0.4999999999999998,-0.8660254037844388
41,7.0,1.0,1.0,0.0,841,1.0,0.0,0.0,7,250,2,0.0,-0.4999999999999998,-0.8660254037844388
59,1.0,1.0,1.0,0.0,-1336,0.0,1.0,0.0,7,450,2,0.0,-0.4999999999999998,-0.8660254037844388
35,11.0,1.0,0.0,0.0,634,0.0,0.0,0.0,7,185,2,0.0,-0.4999999999999998,-0.8660254037844388
43,4.0,0.0,1.0,0.0,0,0.0,0.0,0.0,7,75,3,0.0,-0.4999999999999998,-0.8660254037844388
50,1.0,1.0,0.0,0.0,9301,1.0,0.0,0.0,7,136,4,0.0,-0.4999999999999998,-0.8660254037844388
49,9.0,1.0,0.0,0.0,486,0.0,0.0,1.0,7,229,5,0.0,-0.4999999999999998,-0.8660254037844388
51,6.0,1.0,1.0,1.0,34,0.0,1.0,0.0,7,200,1,0.0,-0.4999999999999998,-0.8660254037844388
39,9.0,2.0,1.0,0.0,506,1.0,0.0,0.0,7,718,2,1.0,-0.4999999999999998,-0.8660254037844388
38,4.0,1.0,2.0,0.0,1444,1.0,0.0,0.0,7,139,2,0.0,-0.4999999999999998,-0.8660254037844388
30,7.0,2.0,1.0,0.0,0,1.0,0.0,0.0,7,161,2,0.0,-0.4999999999999998,-0.8660254037844388
41,9.0,1.0,1.0,0.0,923,1.0,0.0,0.0,7,141,3,0.0,-0.4999999999999998,-0.8660254037844388
45,10.0,0.0,1.0,0.0,-44,1.0,0.0,0.0,7,256,2,0.0,-0.4999999999999998,-0.8660254037844388
54,7.0,0.0,2.0,0.0,413,0.0,0.0,0.0,7,39,9,0.0,-0.4999999999999998,-0.8660254037844388
47,0.0,2.0,1.0,0.0,3531,1.0,0.0,0.0,7,49,6,0.0,-0.4999999999999998,-0.8660254037844388
53,4.0,0.0,2.0,0.0,243,1.0,0.0,0.0,7,66,2,0.0,-0.4999999999999998,-0.8660254037844388
41,1.0,1.0,0.0,0.0,484,1.0,0.0,0.0,7,321,3,0.0,-0.4999999999999998,-0.8660254037844388
42,1.0,0.0,0.0,0.0,213,1.0,0.0,0.0,7,434,3,1.0,-0.4999999999999998,-0.8660254037844388
33,7.0,2.0,1.0,0.0,170,0.0,0.0,0.0,7,782,1,1.0,-0.4999999999999998,-0.8660254037844388
34,6.0,1.0,2.0,0.0,-236,1.0,0.0,0.0,7,118,4,0.0,-0.4999999999999998,-0.8660254037844388
54,1.0,0.0,1.0,0.0,1613,1.0,0.0,0.0,7,128,3,0.0,-0.4999999999999998,-0.8660254037844388
37,2.0,1.0,2.0,0.0,555,0.0,0.0,0.0,7,104,2,0.0,-0.4999999999999998,-0.8660254037844388
59,0.0,1.0,1.0,0.0,1914,1.0,0.0,0.0,7,126,3,0.0,-0.4999999999999998,-0.8660254037844388
38,9.0,1.0,1.0,0.0,2220,0.0,0.0,0.0,7,87,2,0.0,-0.4999999999999998,-0.8660254037844388
27,0.0,2.0,1.0,0.0,450,1.0,0.0,0.0,7,107,3,0.0,-0.4999999999999998,-0.8660254037844388
59,4.0,1.0,2.0,0.0,553,1.0,0.0,0.0,7,1272,3,1.0,-0.4999999999999998,-0.8660254037844388
31,0.0,2.0,1.0,0.0,92,1.0,0.0,0.0,7,401,2,0.0,-0.4999999999999998,-0.8660254037844388
42,1.0,0.0,3.0,0.0,0,0.0,0.0,0.0,7,64,2,0.0,-0.4999999999999998,-0.8660254037844388
45,1.0,0.0,0.0,0.0,1805,0.0,0.0,0.0,7,758,1,0.0,-0.4999999999999998,-0.8660254037844388
37,6.0,1.0,1.0,0.0,1523,0.0,1.0,0.0,7,316,2,0.0,-0.4999999999999998,-0.8660254037844388
42,1.0,0.0,1.0,0.0,3407,0.0,0.0,0.0,7,277,2,0.0,-0.4999999999999998,-0.8660254037844388
40,1.0,1.0,0.0,0.0,254,1.0,0.0,0.0,7,107,3,0.0,-0.4999999999999998,-0.8660254037844388
42,10.0,1.0,0.0,0.0,11,0.0,0.0,0.0,7,111,3,0.0,-0.4999999999999998,-0.8660254037844388
27,4.0,2.0,1.0,0.0,1609,1.0,0.0,0.0,7,360,3,0.0,-0.4999999999999998,-0.8660254037844388
45,4.0,1.0,2.0,0.0,1447,1.0,1.0,0.0,7,461,2,0.0,-0.4999999999999998,-0.8660254037844388
43,9.0,0.0,2.0,0.0,27,0.0,0.0,0.0,7,412,4,0.0,-0.4999999999999998,-0.8660254037844388
41,0.0,1.0,1.0,0.0,125,0.0,0.0,0.0,7,244,4,0.0,-0.4999999999999998,-0.8660254037844388
47,11.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,240,1,0.0,-0.4999999999999998,-0.8660254037844388
47,4.0,1.0,0.0,0.0,1797,0.0,0.0,0.0,7,62,4,0.0,-0.4999999999999998,-0.8660254037844388
44,1.0,1.0,0.0,0.0,2,0.0,1.0,1.0,7,46,2,0.0,-0.4999999999999998,-0.8660254037844388
46,11.0,1.0,3.0,0.0,2911,0.0,0.0,1.0,7,41,9,0.0,-0.4999999999999998,-0.8660254037844388
40,0.0,1.0,1.0,0.0,1395,1.0,1.0,0.0,7,122,2,0.0,-0.4999999999999998,-0.8660254037844388
33,9.0,0.0,1.0,0.0,522,0.0,1.0,0.0,7,559,4,0.0,-0.4999999999999998,-0.8660254037844388
36,2.0,0.0,2.0,0.0,776,0.0,1.0,0.0,7,722,3,1.0,-0.4999999999999998,-0.8660254037844388
25,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,7,64,1,0.0,-0.4999999999999998,-0.8660254037844388
45,9.0,1.0,1.0,0.0,879,0.0,0.0,0.0,7,621,2,1.0,-0.4999999999999998,-0.8660254037844388
27,7.0,2.0,1.0,0.0,266,0.0,1.0,0.0,7,232,1,0.0,-0.4999999999999998,-0.8660254037844388
43,7.0,1.0,0.0,0.0,29,0.0,0.0,1.0,7,259,8,0.0,-0.4999999999999998,-0.8660254037844388
37,6.0,1.0,1.0,0.0,1633,0.0,0.0,0.0,7,629,2,1.0,-0.4999999999999998,-0.8660254037844388
47,4.0,1.0,3.0,0.0,12245,0.0,0.0,0.0,7,1103,3,0.0,-0.4999999999999998,-0.8660254037844388
48,4.0,1.0,2.0,0.0,666,1.0,0.0,0.0,7,317,6,0.0,-0.4999999999999998,-0.8660254037844388
30,7.0,1.0,1.0,0.0,-134,1.0,1.0,0.0,7,61,1,0.0,-0.4999999999999998,-0.8660254037844388
35,6.0,1.0,1.0,0.0,0,1.0,0.0,1.0,7,126,4,0.0,-0.4999999999999998,-0.8660254037844388
59,11.0,1.0,0.0,0.0,1247,0.0,0.0,1.0,7,66,8,0.0,-0.4999999999999998,-0.8660254037844388
46,10.0,1.0,1.0,0.0,926,0.0,0.0,0.0,7,385,5,1.0,-0.4999999999999998,-0.8660254037844388
43,9.0,1.0,1.0,0.0,-796,0.0,0.0,0.0,7,190,4,0.0,-0.4999999999999998,-0.8660254037844388
52,5.0,1.0,2.0,0.0,493,0.0,0.0,0.0,7,61,6,0.0,-0.4999999999999998,-0.8660254037844388
37,7.0,1.0,1.0,0.0,343,1.0,1.0,0.0,7,74,7,0.0,-0.4999999999999998,-0.8660254037844388
45,9.0,1.0,1.0,0.0,268,0.0,0.0,0.0,7,96,14,0.0,-0.4999999999999998,-0.8660254037844388
54,4.0,0.0,2.0,0.0,92,0.0,1.0,1.0,7,86,4,0.0,-0.4999999999999998,-0.8660254037844388
28,4.0,2.0,2.0,0.0,0,0.0,0.0,0.0,7,94,1,0.0,-0.4999999999999998,-0.8660254037844388
42,4.0,1.0,3.0,0.0,6573,1.0,0.0,0.0,7,56,4,0.0,-0.4999999999999998,-0.8660254037844388
44,7.0,1.0,1.0,0.0,182,1.0,1.0,0.0,7,209,4,0.0,-0.4999999999999998,-0.8660254037844388
57,0.0,1.0,1.0,0.0,1143,0.0,0.0,1.0,7,69,3,0.0,-0.4999999999999998,-0.8660254037844388
46,1.0,1.0,1.0,0.0,4044,0.0,0.0,0.0,7,326,3,0.0,-0.4999999999999998,-0.8660254037844388
27,1.0,2.0,1.0,0.0,77,0.0,1.0,0.0,7,497,1,0.0,-0.4999999999999998,-0.8660254037844388
51,9.0,1.0,1.0,0.0,1327,0.0,0.0,0.0,7,21,2,0.0,-0.4999999999999998,-0.8660254037844388
29,0.0,1.0,1.0,0.0,488,0.0,1.0,0.0,7,223,1,0.0,-0.4999999999999998,-0.8660254037844388
57,9.0,1.0,1.0,0.0,0,0.0,0.0,0.0,7,236,1,0.0,-0.4999999999999998,-0.8660254037844388
59,5.0,0.0,1.0,0.0,23,0.0,0.0,0.0,7,66,1,0.0,-0.4999999999999998,-0.8660254037844388
57,5.0,1.0,0.0,0.0,808,0.0,0.0,1.0,7,274,1,0.0,-0.4999999999999998,-0.8660254037844388
26,7.0,1.0,1.0,0.0,-236,1.0,1.0,0.0,7,459,1,0.0,-0.4999999999999998,-0.8660254037844388
36,7.0,1.0,1.0,0.0,-274,0.0,0.0,0.0,7,217,1,0.0,-0.4999999999999998,-0.8660254037844388
35,4.0,2.0,2.0,0.0,12,0.0,0.0,0.0,7,289,1,0.0,-0.4999999999999998,-0.8660254037844388
